order_id,date,product_id,category,price,quantity,base_price,discount,demand_factor,revenue
67,2023-01-05,P7,Clothing,438.3,41,487,10,0.74,17970.3
68,2023-01-05,P8,Home,388.0,56,485,20,0.91,21728.0
69,2023-01-05,P9,Home,345.0,39,345,0,0.79,13455.0
70,2023-01-05,P10,Clothing,576.65,36,607,5,0.7,20759.4
71,2023-01-05,P11,Electronics,415.2,59,519,20,0.82,24496.8
72,2023-01-05,P12,Clothing,636.5,39,670,5,0.73,24823.5
73,2023-01-05,P13,Home,418.95,45,441,5,0.86,18852.75
74,2023-01-05,P14,Electronics,616.55,42,649,5,0.78,25895.1
75,2023-01-05,P15,Clothing,253.0,42,253,0,0.86,10626.0
76,2023-01-06,P1,Electronics,1352.7,41,1503,10,0.73,55460.7
77,2023-01-06,P2,Electronics,1341.9,55,1491,10,0.91,73804.5
78,2023-01-06,P3,Electronics,825.55,39,869,5,0.71,32196.45
79,2023-01-06,P4,Home,336.6,42,374,10,0.78,14137.2
80,2023-01-06,P5,Clothing,284.4,54,316,10,0.91,15357.6
81,2023-01-06,P6,Electronics,1422.9,44,1581,10,0.78,62607.6
82,2023-01-06,P7,Clothing,253.6,62,317,20,0.98,15723.2
83,2023-01-06,P8,Electronics,1436.0,65,1795,20,0.87,93340.0
84,2023-01-06,P9,Clothing,423.7,44,446,5,0.81,18642.8
85,2023-01-06,P10,Electronics,1528.55,41,1609,5,0.73,62670.55
86,2023-01-06,P11,Home,154.4,43,193,20,0.75,6639.2
87,2023-01-06,P12,Clothing,605.7,46,673,10,0.8,27862.2
88,2023-01-06,P13,Clothing,528.2,52,556,5,0.98,27466.4
89,2023-01-06,P14,Clothing,360.05,52,379,5,0.98,18722.6
90,2023-01-06,P15,Electronics,1212.0,63,1515,20,0.88,76356.0
91,2023-01-07,P1,Home,285.6,88,357,20,1.35,25132.8
92,2023-01-07,P2,Clothing,579.0,65,579,0,1.32,37635.0
93,2023-01-07,P3,Electronics,1791.0,68,1791,0,1.36,121788.0
94,2023-01-07,P4,Home,114.4,71,143,20,1.14,8122.4
95,2023-01-07,P5,Clothing,406.8,73,452,10,1.23,29696.4
96,2023-01-07,P6,Clothing,555.3,67,617,10,1.15,37205.1
97,2023-01-07,P7,Electronics,1278.4,85,1598,20,1.27,108664.0
98,2023-01-07,P8,Electronics,1260.0,70,1260,0,1.4,88200.0
99,2023-01-07,P9,Home,220.8,72,276,20,1.25,15897.6
100,2023-01-07,P10,Home,185.25,69,195,5,1.32,12782.25
101,2023-01-07,P11,Electronics,778.0,62,778,0,1.25,48236.0
102,2023-01-07,P12,Electronics,561.0,61,561,0,1.23,34221.0
103,2023-01-07,P13,Home,94.4,91,118,20,1.48,8590.4
104,2023-01-07,P14,Home,140.0,91,175,20,1.48,12740.0
105,2023-01-07,P15,Home,466.0,60,466,0,1.22,27960.0
106,2023-01-08,P1,Electronics,1157.6,106,1447,20,1.48,122705.6
107,2023-01-08,P2,Electronics,1483.9,84,1562,5,1.49,124647.6
108,2023-01-08,P3,Clothing,379.8,87,422,10,1.46,33042.6
109,2023-01-08,P4,Home,344.0,88,430,20,1.38,30272.0
110,2023-01-08,P5,Clothing,656.45,59,691,5,1.13,38730.55
111,2023-01-08,P6,Electronics,1606.45,82,1691,5,1.46,131728.9
112,2023-01-08,P7,Clothing,680.2,79,716,5,1.49,53735.8
113,2023-01-08,P8,Electronics,1678.5,85,1865,10,1.46,142672.5
114,2023-01-08,P9,Electronics,1324.0,89,1655,20,1.13,117836.0
115,2023-01-08,P10,Electronics,1237.5,72,1375,10,1.2,89100.0
116,2023-01-08,P11,Home,138.0,55,138,0,1.1,7590.0
117,2023-01-08,P12,Clothing,205.6,72,257,20,1.15,14803.2
118,2023-01-08,P13,Electronics,1219.2,106,1524,20,1.48,129235.2
119,2023-01-08,P14,Home,468.0,59,468,0,1.19,27612.0
120,2023-01-08,P15,Clothing,205.6,98,257,20,1.32,20148.8
121,2023-01-09,P1,Home,248.0,49,248,0,1.0,12152.0
122,2023-01-09,P2,Electronics,1750.0,42,1750,0,0.86,73500.0
123,2023-01-09,P3,Electronics,1645.2,59,1828,10,1.0,97066.8
124,2023-01-09,P4,Clothing,458.0,48,458,0,0.97,21984.0
125,2023-01-09,P5,Clothing,445.6,54,557,20,0.8,24062.4
126,2023-01-09,P6,Clothing,437.6,52,547,20,0.81,22755.2
127,2023-01-09,P7,Clothing,739.0,38,739,0,0.78,28082.0
128,2023-01-09,P8,Home,244.0,47,244,0,0.94,11468.0
129,2023-01-09,P9,Electronics,1408.0,49,1408,0,0.98,68992.0
130,2023-01-09,P10,Home,355.0,41,355,0,0.83,14555.0
131,2023-01-09,P11,Clothing,441.0,35,441,0,0.71,15435.0
132,2023-01-09,P12,Electronics,698.4,68,873,20,1.0,47491.2
133,2023-01-09,P13,Home,440.0,49,440,0,0.99,21560.0
134,2023-01-09,P14,Home,262.2,36,276,5,0.71,9439.2
135,2023-01-09,P15,Home,435.6,54,484,10,0.96,23522.4
136,2023-01-10,P1,Electronics,1147.6,51,1208,5,0.97,58527.6
137,2023-01-10,P2,Home,144.4,41,152,5,0.81,5920.4
138,2023-01-10,P3,Electronics,1601.0,49,1601,0,0.99,78449.0
139,2023-01-10,P4,Electronics,1575.2,59,1969,20,0.89,92936.8
140,2023-01-10,P5,Home,162.45,45,171,5,0.86,7310.25
141,2023-01-10,P6,Clothing,479.75,51,505,5,0.99,24467.25
142,2023-01-10,P7,Clothing,540.0,49,600,10,0.83,26460.0
143,2023-01-10,P8,Electronics,1216.8,45,1352,10,0.76,54756.0
144,2023-01-10,P9,Clothing,479.75,46,505,5,0.87,22068.5
145,2023-01-10,P10,Home,407.0,46,407,0,0.94,18722.0
146,2023-01-10,P11,Clothing,305.0,46,305,0,0.94,14030.0
147,2023-01-10,P12,Clothing,383.0,38,383,0,0.78,14554.0
148,2023-01-10,P13,Electronics,992.75,43,1045,5,0.8,42688.25
149,2023-01-10,P14,Home,127.8,48,142,10,0.86,6134.4
150,2023-01-10,P15,Home,253.8,40,282,10,0.74,10152.0
151,2023-01-11,P1,Electronics,1546.2,51,1718,10,0.9,78856.2
152,2023-01-11,P2,Clothing,234.0,56,260,10,0.95,13104.0
153,2023-01-11,P3,Clothing,733.0,43,733,0,0.86,31519.0
154,2023-01-11,P4,Clothing,232.75,43,245,5,0.8,10008.25
155,2023-01-11,P5,Home,154.8,50,172,10,0.89,7740.0
156,2023-01-11,P6,Home,139.5,43,155,10,0.81,5998.5
157,2023-01-11,P7,Electronics,1239.2,62,1549,20,0.92,76830.4
158,2023-01-11,P8,Electronics,974.4,63,1218,20,0.85,61387.2
159,2023-01-11,P9,Clothing,181.6,63,227,20,0.92,11440.8
160,2023-01-11,P10,Clothing,652.5,54,725,10,0.91,35235.0
161,2023-01-11,P11,Home,269.6,42,337,20,0.73,11323.2
162,2023-01-11,P12,Clothing,192.6,48,214,10,0.81,9244.8
163,2023-01-11,P13,Clothing,214.2,42,238,10,0.73,8996.4
164,2023-01-11,P14,Clothing,588.8,51,736,20,0.84,30028.8
165,2023-01-11,P15,Clothing,252.7,38,266,5,0.73,9602.6
166,2023-01-12,P1,Home,106.4,49,133,20,0.83,5213.6
167,2023-01-12,P2,Home,133.95,51,141,5,0.97,6831.45
168,2023-01-12,P3,Clothing,642.0,39,642,0,0.8,25038.0
169,2023-01-12,P4,Electronics,1812.0,37,1812,0,0.75,67044.0
170,2023-01-12,P5,Home,189.9,40,211,10,0.73,7596.0
171,2023-01-12,P6,Clothing,302.4,42,336,10,0.71,12700.8
172,2023-01-12,P7,Electronics,994.65,43,1047,5,0.82,42769.95
173,2023-01-12,P8,Home,97.85,41,103,5,0.78,4011.85
174,2023-01-12,P9,Clothing,695.7,47,773,10,0.86,32697.9
175,2023-01-12,P10,Clothing,634.0,37,634,0,0.76,23458.0
176,2023-01-12,P11,Clothing,339.2,46,424,20,0.73,15603.2
177,2023-01-12,P12,Clothing,493.05,40,519,5,0.75,19722.0
178,2023-01-12,P13,Electronics,720.1,47,758,5,0.84,33844.7
179,2023-01-12,P14,Electronics,536.8,77,671,20,0.94,41333.6
180,2023-01-12,P15,Electronics,1842.0,36,1842,0,0.74,66312.0
181,2023-01-13,P1,Home,130.15,38,137,5,0.73,4945.7
182,2023-01-13,P2,Electronics,776.15,39,817,5,0.74,30269.85
183,2023-01-13,P3,Home,212.4,40,236,10,0.72,8496.0
184,2023-01-13,P4,Clothing,616.8,58,771,20,0.95,35774.4
185,2023-01-13,P5,Electronics,692.1,43,769,10,0.75,29760.3
186,2023-01-13,P6,Electronics,1282.5,52,1350,5,0.97,66690.0
187,2023-01-13,P7,Electronics,1252.0,65,1565,20,0.84,81380.0
188,2023-01-13,P8,Clothing,558.9,48,621,10,0.85,26827.2
189,2023-01-13,P9,Electronics,579.6,49,644,10,0.86,28400.4
190,2023-01-13,P10,Electronics,542.7,49,603,10,0.83,26592.3
191,2023-01-13,P11,Home,465.5,38,490,5,0.74,17689.0
192,2023-01-13,P12,Home,168.0,54,210,20,0.92,9072.0
193,2023-01-13,P13,Home,256.0,45,256,0,0.91,11520.0
194,2023-01-13,P14,Home,368.6,48,388,5,0.91,17692.8
195,2023-01-13,P15,Electronics,1364.0,36,1364,0,0.73,49104.0
196,2023-01-14,P1,Electronics,643.5,84,715,10,1.42,54054.0
197,2023-01-14,P2,Electronics,1344.0,115,1680,20,1.41,154560.0
198,2023-01-14,P3,Home,155.2,78,194,20,1.32,12105.6
199,2023-01-14,P4,Home,343.8,82,382,10,1.48,28191.6
200,2023-01-14,P5,Clothing,299.7,70,333,10,1.22,20979.0
201,2023-01-14,P6,Home,396.0,73,495,20,1.3,28908.0
202,2023-01-14,P7,Electronics,1193.6,116,1492,20,1.34,138457.6
203,2023-01-14,P8,Electronics,1248.3,75,1387,10,1.16,93622.5
204,2023-01-14,P9,Home,429.3,78,477,10,1.39,33485.4
205,2023-01-14,P10,Electronics,1214.1,65,1278,5,1.19,78916.5
206,2023-01-14,P11,Clothing,619.0,61,619,0,1.23,37759.0
207,2023-01-14,P12,Clothing,689.4,74,766,10,1.26,51015.6
208,2023-01-14,P13,Electronics,1465.6,112,1832,20,1.42,164147.2
209,2023-01-14,P14,Clothing,735.3,78,774,5,1.47,57353.4
210,2023-01-14,P15,Clothing,368.1,73,409,10,1.28,26871.3
211,2023-01-15,P1,Home,439.85,60,463,5,1.17,26391.0
212,2023-01-15,P2,Home,223.2,74,279,20,1.22,16516.8
213,2023-01-15,P3,Electronics,533.9,61,562,5,1.11,32567.9
214,2023-01-15,P4,Electronics,1257.6,106,1572,20,1.28,133305.6
215,2023-01-15,P5,Clothing,541.0,58,541,0,1.17,31378.0
216,2023-01-15,P6,Home,338.2,73,356,5,1.4,24688.6
217,2023-01-15,P7,Home,294.5,61,310,5,1.18,17964.5
218,2023-01-15,P8,Electronics,706.5,65,785,10,1.13,45922.5
219,2023-01-15,P9,Clothing,541.5,70,570,5,1.31,37905.0
220,2023-01-15,P10,Electronics,551.7,70,613,10,1.16,38619.0
221,2023-01-15,P11,Electronics,1608.3,81,1787,10,1.4,130272.3
222,2023-01-15,P12,Clothing,624.15,66,657,5,1.26,41193.9
223,2023-01-15,P13,Home,146.3,76,154,5,1.45,11118.8
224,2023-01-15,P14,Electronics,649.6,96,812,20,1.18,62361.6
225,2023-01-15,P15,Home,384.3,74,427,10,1.33,28438.2
226,2023-01-16,P1,Home,156.8,43,196,20,0.73,6742.4
227,2023-01-16,P2,Clothing,438.3,54,487,10,0.99,23668.2
228,2023-01-16,P3,Electronics,612.9,50,681,10,0.8,30645.0
229,2023-01-16,P4,Clothing,206.0,38,206,0,0.76,7828.0
230,2023-01-16,P5,Home,168.8,56,211,20,0.89,9452.8
231,2023-01-16,P6,Clothing,713.0,40,713,0,0.8,28520.0
232,2023-01-16,P7,Clothing,526.5,45,585,10,0.78,23692.5
233,2023-01-16,P8,Electronics,1238.8,44,1304,5,0.81,54507.2
234,2023-01-16,P9,Electronics,1367.05,52,1439,5,0.93,71086.6
235,2023-01-16,P10,Electronics,1091.7,58,1213,10,0.97,63318.6
236,2023-01-16,P11,Electronics,1638.0,43,1638,0,0.86,70434.0
237,2023-01-16,P12,Electronics,1713.8,49,1804,5,0.89,83976.2
238,2023-01-16,P13,Clothing,203.0,37,203,0,0.75,7511.0
239,2023-01-16,P14,Home,372.4,45,392,5,0.86,16758.0
240,2023-01-16,P15,Clothing,527.25,46,555,5,0.87,24253.5
241,2023-01-17,P1,Electronics,1347.3,42,1497,10,0.73,56586.6
242,2023-01-17,P2,Clothing,214.7,48,226,5,0.92,10305.6
243,2023-01-17,P3,Clothing,467.0,37,467,0,0.75,17279.0
244,2023-01-17,P4,Electronics,1539.2,72,1924,20,0.93,110822.4
245,2023-01-17,P5,Clothing,736.25,49,775,5,0.92,36076.25
246,2023-01-17,P6,Home,266.0,37,280,5,0.72,9842.0
247,2023-01-17,P7,Home,316.0,55,395,20,0.92,17380.0
248,2023-01-17,P8,Home,314.45,42,331,5,0.82,13206.9
249,2023-01-17,P9,Clothing,605.0,39,605,0,0.78,23595.0
250,2023-01-17,P10,Home,197.6,45,247,20,0.72,8892.0
251,2023-01-17,P11,Clothing,670.7,47,706,5,0.89,31522.9
252,2023-01-17,P12,Clothing,560.0,63,700,20,0.92,35280.0
253,2023-01-17,P13,Electronics,532.0,45,560,5,0.84,23940.0
254,2023-01-17,P14,Home,184.0,58,230,20,0.91,10672.0
255,2023-01-17,P15,Clothing,270.9,45,301,10,0.79,12190.5
256,2023-01-18,P1,Home,383.8,48,404,5,0.91,18422.4
257,2023-01-18,P2,Electronics,408.8,69,511,20,0.93,28207.2
258,2023-01-18,P3,Home,248.0,45,248,0,0.91,11160.0
259,2023-01-18,P4,Clothing,399.0,44,399,0,0.89,17556.0
260,2023-01-18,P5,Home,371.2,53,464,20,0.91,19673.6
261,2023-01-18,P6,Home,361.95,41,381,5,0.79,14839.95
262,2023-01-18,P7,Home,194.4,52,216,10,0.98,10108.8
263,2023-01-18,P8,Clothing,642.2,38,676,5,0.72,24403.6
264,2023-01-18,P9,Home,181.8,45,202,10,0.81,8181.0
265,2023-01-18,P10,Electronics,1458.9,46,1621,10,0.8,67109.4
266,2023-01-18,P11,Home,370.4,51,463,20,0.86,18890.4
267,2023-01-18,P12,Electronics,1406.95,47,1481,5,0.86,66126.65
268,2023-01-18,P13,Electronics,1851.55,37,1949,5,0.71,68507.35
269,2023-01-18,P14,Clothing,670.5,45,745,10,0.76,30172.5
270,2023-01-18,P15,Clothing,553.5,54,615,10,1.0,29889.0
271,2023-01-19,P1,Electronics,1384.15,47,1457,5,0.84,65055.05
272,2023-01-19,P2,Electronics,693.9,47,771,10,0.82,32613.3
273,2023-01-19,P3,Clothing,558.0,38,558,0,0.77,21204.0
274,2023-01-19,P4,Home,228.95,41,241,5,0.79,9386.95
275,2023-01-19,P5,Clothing,492.0,48,492,0,0.97,23616.0
276,2023-01-19,P6,Home,172.0,45,172,0,0.9,7740.0
277,2023-01-19,P7,Home,352.8,46,392,10,0.88,16228.8
278,2023-01-19,P8,Home,376.2,51,418,10,0.97,19186.2
279,2023-01-19,P9,Clothing,281.6,48,352,20,0.77,13516.8
280,2023-01-19,P10,Electronics,1833.0,36,1833,0,0.74,65988.0
281,2023-01-19,P11,Home,325.0,37,325,0,0.76,12025.0
282,2023-01-19,P12,Home,475.0,44,475,0,0.89,20900.0
283,2023-01-19,P13,Home,220.8,60,276,20,1.0,13248.0
284,2023-01-19,P14,Electronics,872.1,53,918,5,1.0,46221.3
285,2023-01-19,P15,Home,259.0,38,259,0,0.77,9842.0
286,2023-01-20,P1,Home,178.6,49,188,5,0.96,8751.4
287,2023-01-20,P2,Home,183.6,40,204,10,0.74,7344.0
288,2023-01-20,P3,Electronics,1374.4,47,1718,20,0.71,64596.8
289,2023-01-20,P4,Home,125.1,38,139,10,0.73,4753.8
290,2023-01-20,P5,Home,137.0,35,137,0,0.71,4795.0
291,2023-01-20,P6,Clothing,522.4,54,653,20,0.9,28209.6
292,2023-01-20,P7,Electronics,1177.6,65,1472,20,0.96,76544.0
293,2023-01-20,P8,Clothing,493.2,44,548,10,0.8,21700.8
294,2023-01-20,P9,Clothing,239.0,46,239,0,0.92,10994.0
295,2023-01-20,P10,Home,435.0,37,435,0,0.75,16095.0
296,2023-01-20,P11,Electronics,1280.0,48,1280,0,0.98,61440.0
297,2023-01-20,P12,Home,228.6,51,254,10,0.96,11658.6
298,2023-01-20,P13,Electronics,1192.5,57,1325,10,0.95,67972.5
299,2023-01-20,P14,Clothing,505.8,44,562,10,0.75,22255.2
300,2023-01-20,P15,Clothing,709.2,43,788,10,0.76,30495.6
301,2023-01-21,P1,Electronics,1569.0,67,1569,0,1.35,105123.0
302,2023-01-21,P2,Home,362.4,84,453,20,1.43,30441.6
303,2023-01-21,P3,Clothing,632.7,67,666,5,1.27,42390.9
304,2023-01-21,P4,Clothing,580.45,74,611,5,1.4,42953.3
305,2023-01-21,P5,Clothing,316.0,81,395,20,1.13,25596.0
306,2023-01-21,P6,Home,276.45,71,291,5,1.38,19627.95
307,2023-01-21,P7,Clothing,198.9,81,221,10,1.44,16110.9
308,2023-01-21,P8,Clothing,435.6,66,484,10,1.15,28749.6
309,2023-01-21,P9,Electronics,863.1,92,959,10,1.43,79405.2
310,2023-01-21,P10,Home,160.2,73,178,10,1.37,11694.6
311,2023-01-21,P11,Clothing,681.0,73,681,0,1.48,49713.0
312,2023-01-21,P12,Home,446.4,75,496,10,1.42,33480.0
313,2023-01-21,P13,Electronics,1518.1,78,1598,5,1.41,118411.8
314,2023-01-21,P14,Clothing,658.0,74,658,0,1.49,48692.0
315,2023-01-21,P15,Electronics,520.0,67,520,0,1.36,34840.0
316,2023-01-22,P1,Clothing,652.0,61,652,0,1.23,39772.0
317,2023-01-22,P2,Clothing,653.4,62,726,10,1.11,40510.8
318,2023-01-22,P3,Electronics,1161.9,79,1291,10,1.29,91790.1
319,2023-01-22,P4,Home,171.0,72,171,0,1.45,12312.0
320,2023-01-22,P5,Electronics,968.05,70,1019,5,1.31,67763.5
321,2023-01-22,P6,Home,388.8,64,486,20,1.11,24883.2
322,2023-01-22,P7,Clothing,719.15,61,757,5,1.15,43868.15
323,2023-01-22,P8,Electronics,1759.0,59,1759,0,1.18,103781.0
324,2023-01-22,P9,Electronics,1382.25,69,1455,5,1.23,95375.25
325,2023-01-22,P10,Clothing,434.4,86,543,20,1.28,37358.4
326,2023-01-22,P11,Electronics,734.35,70,773,5,1.29,51404.5
327,2023-01-22,P12,Home,265.0,70,265,0,1.4,18550.0
328,2023-01-22,P13,Clothing,592.8,76,624,5,1.4,45052.8
329,2023-01-22,P14,Electronics,855.0,65,900,5,1.16,55575.0
330,2023-01-22,P15,Clothing,285.0,66,285,0,1.32,18810.0
331,2023-01-23,P1,Clothing,201.0,40,201,0,0.81,8040.0
332,2023-01-23,P2,Electronics,1033.6,45,1088,5,0.8,46512.0
333,2023-01-23,P3,Clothing,274.55,50,289,5,0.95,13727.5
334,2023-01-23,P4,Clothing,564.3,44,627,10,0.74,24829.2
335,2023-01-23,P5,Home,489.0,35,489,0,0.72,17115.0
336,2023-01-23,P6,Electronics,1514.4,60,1893,20,0.91,90864.0
337,2023-01-23,P7,Clothing,254.7,49,283,10,0.85,12480.3
338,2023-01-23,P8,Home,173.85,49,183,5,0.95,8518.65
339,2023-01-23,P9,Clothing,571.2,68,714,20,0.92,38841.6
340,2023-01-23,P10,Home,111.0,42,111,0,0.84,4662.0
341,2023-01-23,P11,Home,209.95,42,221,5,0.8,8817.9
342,2023-01-23,P12,Electronics,727.2,44,808,10,0.75,31996.8
343,2023-01-23,P13,Clothing,748.0,42,748,0,0.85,31416.0
344,2023-01-23,P14,Clothing,222.3,38,234,5,0.71,8447.4
345,2023-01-23,P15,Electronics,1331.9,54,1402,5,0.99,71922.6
346,2023-01-24,P1,Clothing,178.4,62,223,20,0.92,11060.8
347,2023-01-24,P2,Clothing,694.45,51,731,5,0.96,35416.95
348,2023-01-24,P3,Electronics,873.05,47,919,5,0.85,41033.35
349,2023-01-24,P4,Clothing,507.3,46,534,5,0.9,23335.8
350,2023-01-24,P5,Home,470.0,38,470,0,0.76,17860.0
351,2023-01-24,P6,Electronics,926.1,45,1029,10,0.77,41674.5
352,2023-01-24,P7,Clothing,683.05,40,719,5,0.75,27322.0
353,2023-01-24,P8,Clothing,533.0,47,533,0,0.96,25051.0
354,2023-01-24,P9,Electronics,841.6,66,1052,20,0.82,55545.6
355,2023-01-24,P10,Clothing,562.4,57,703,20,0.88,32056.8
356,2023-01-24,P11,Clothing,344.0,40,344,0,0.82,13760.0
357,2023-01-24,P12,Home,328.0,46,328,0,0.93,15088.0
358,2023-01-24,P13,Electronics,1276.2,59,1418,10,0.97,75295.8
359,2023-01-24,P14,Clothing,469.0,40,469,0,0.8,18760.0
360,2023-01-24,P15,Clothing,448.0,59,560,20,0.88,26432.0
361,2023-01-25,P1,Electronics,649.6,67,812,20,0.81,43523.2
362,2023-01-25,P2,Home,274.0,46,274,0,0.93,12604.0
363,2023-01-25,P3,Home,275.4,39,306,10,0.73,10740.6
364,2023-01-25,P4,Clothing,479.7,46,533,10,0.77,22066.2
365,2023-01-25,P5,Clothing,190.0,41,200,5,0.75,7790.0
366,2023-01-25,P6,Home,381.6,40,424,10,0.71,15264.0
367,2023-01-25,P7,Clothing,380.0,54,475,20,0.91,20520.0
368,2023-01-25,P8,Clothing,416.0,43,416,0,0.87,17888.0
369,2023-01-25,P9,Home,263.15,38,277,5,0.74,9999.7
370,2023-01-25,P10,Clothing,481.65,48,507,5,0.92,23119.2
371,2023-01-25,P11,Clothing,432.0,54,540,20,0.75,23328.0
372,2023-01-25,P12,Clothing,644.4,49,716,10,0.91,31575.6
373,2023-01-25,P13,Home,207.1,36,218,5,0.71,7455.6
374,2023-01-25,P14,Clothing,309.6,48,344,10,0.87,14860.8
375,2023-01-25,P15,Home,341.6,52,427,20,0.9,17763.2
376,2023-01-26,P1,Home,386.0,45,386,0,0.9,17370.0
377,2023-01-26,P2,Electronics,1394.4,59,1743,20,0.71,82269.6
378,2023-01-26,P3,Electronics,1347.2,71,1684,20,0.93,95651.2
379,2023-01-26,P4,Electronics,979.2,60,1088,10,0.96,58752.0
380,2023-01-26,P5,Electronics,1543.75,46,1625,5,0.83,71012.5
381,2023-01-26,P6,Clothing,713.7,45,793,10,0.83,32116.5
382,2023-01-26,P7,Home,216.6,47,228,5,0.89,10180.2
383,2023-01-26,P8,Electronics,1429.2,53,1588,10,0.87,75747.6
384,2023-01-26,P9,Home,415.0,38,415,0,0.77,15770.0
385,2023-01-26,P10,Electronics,750.5,49,790,5,0.88,36774.5
386,2023-01-26,P11,Clothing,161.6,56,202,20,0.86,9049.6
387,2023-01-26,P12,Clothing,336.0,51,420,20,0.74,17136.0
388,2023-01-26,P13,Electronics,1326.6,49,1474,10,0.82,65003.4
389,2023-01-26,P14,Home,340.0,57,425,20,0.99,19380.0
